NrofTotalCopy	Contact
8000		4518
16000		9399
2500		953
10500		5191
18500		13281
5000		3081
13000		6826
7500		4351
15500		8897
2000		764
10000		5053
18000		12737
4500		2614
12500		6378
7000		4164
15000		8467
1500		678
9500		4858
17500		12303
4000		1209
12000		5800
6500		3966
14500		8101
1000		630
9000		4799
17000		11412
3500		1095
11500		5711
6000		3812
14000		7973
500		395
8500		4696
16500		9763
3000		1052
11000		5549
19000		14726
5500		3538
13500		7432

