NrofTotalCopy	Contact
8000		4497
16000		9808
2500		795
10500		5418
18500		13330
5000		2657
13000		7256
7500		4241
15500		9736
2000		666
10000		5186
18000		12715
4500		2002
12500		6406
7000		3943
15000		9464
1500		581
9500		4981
17500		12063
4000		1128
12000		5779
6500		3759
14500		9047
1000		374
9000		4858
17000		11684
3500		985
11500		5705
6000		3408
14000		8803
500		184
8500		4674
16500		10258
3000		942
11000		5640
19000		14175
5500		3042
13500		8459

