NrofTotalCopy	Contact
8000		3862
16000		6852
2500		680
10500		4291
18500		9234
5000		1978
13000		5528
7500		3708
15500		6808
2000		573
10000		4172
18000		8731
4500		1494
12500		5107
7000		3426
15000		6623
1500		499
9500		4111
17500		8054
4000		897
12000		4577
6500		3061
14500		6482
1000		391
9000		4003
17000		7550
3500		795
11500		4482
6000		2606
14000		6317
500		209
8500		3919
16500		6992
3000		748
11000		4366
19000		10469
5500		2396
13500		5946

